X,Y,Unique_Squirrel_ID,Hectare,Shift,Date,Hectare_Squirrel_Number,Age,Primary_Fur_Color,Highlight_Fur_Color,Combination_Fur,Color_Notes,Location,Above_Ground_Sighter_Measurement,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_Flags,Tail_Twitches,Approaches,Indifferent,Runs_From,Other_Interactions
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,2018-10-14,3,,,,+,,,FALSE,,false,false,false,false,false,,false,false,false,false,false,false,false,false,
